Rating;Reviews;Followers;Sentimiento
5.0;1.0;2.0;1
5.0;3.0;2.0;0
5.0;2.0;3.0;1
5.0;1.0;1.0;1
5.0;3.0;2.0;1
5.0;1.0;0.0;1
5.0;1.0;0.0;1
4.0;1.0;0.0;0
5.0;1.0;1.0;1
5.0;1.0;1.0;1
5.0;1.0;1.0;1
5.0;3.0;1.0;1
5.0;1.0;1.0;1
5.0;2.0;25.0;0
1.0;1.0;0.0;-1
5.0;4.0;7.0;1
4.0;30.0;34.0;1
5.0;6.0;267.0;1
5.0;1.0;1.0;1
5.0;1.0;33.0;1
5.0;72.0;762.0;1
4.0;6.0;1.0;0
4.0;2.0;2.0;-1
5.0;8.0;25.0;1
5.0;1.0;0.0;1
5.0;3.0;0.0;1
5.0;2.0;1.0;1
5.0;1.0;26.0;1
5.0;9.0;5.0;1
4.0;3.0;3.0;0
3.0;9.0;8.0;-1
5.0;1.0;1.0;1
5.0;3.0;1.0;1
5.0;3.0;190.0;1
5.0;6.0;10.0;1
5.0;1.0;0.0;1
5.0;1.0;0.0;1
5.0;2.0;8.0;1
5.0;2.0;39.0;1
4.0;2.0;1.0;1
5.0;5.0;0.0;1
5.0;1.0;0.0;1
4.0;4.0;2.0;1
4.0;150.0;2135.0;1
5.0;2.0;2.0;1
3.0;61.0;167.0;0
4.0;1.0;0.0;1
5.0;2.0;1.0;1
5.0;1.0;0.0;1
5.0;1.0;13.0;1
5.0;1.0;40.0;1
5.0;7.0;1.0;1
5.0;2.0;1.0;1
5.0;5.0;2.0;1
5.0;1.0;0.0;1
5.0;1.0;16.0;1
3.0;25.0;24.0;0
4.0;3.0;12.0;1
5.0;2.0;31.0;1
4.0;4.0;2.0;-1
5.0;1.0;54.0;1
5.0;1.0;33.0;1
5.0;2.0;0.0;1
5.0;3.0;14.0;1
4.0;1.0;1.0;1
5.0;1.0;0.0;1
1.0;1.0;24.0;-1
5.0;3.0;2.0;1
5.0;47.0;4734.0;1
5.0;8.0;4.0;1
5.0;3.0;0.0;1
5.0;1.0;1.0;0
5.0;1.0;0.0;1
3.0;51.0;232.0;0
4.0;1.0;0.0;1
2.0;1.0;2.0;-1
3.0;20.0;23.0;-1
5.0;2.0;0.0;1
5.0;2.0;1.0;1
